Terminal,RT,Data,Leve,Moderada,Grave,Processo,Rancho outras não conformidades,RT do material não programada,Peso não conforme (dentro do dimensionamento),Dados divergentes/Faltantes,Outros - Leve,Material faltando etiqueda de identificação,Material faltando ficha de emergência,Rancho com temperatura não conforme,Eslinga com comprimento fora do padrão,Lacre faltante / Danificado / Divergente,Contentor/Equip. inadequado,Outros - Moderado,Ausência de eslingas,Eslinga a vencer (LOAD),Químico RT carga comum,Radioativo com identificação inadequada,explosivo com identificação inadequada,Peso não conforme (fora do dimensional),Contentor/Equip. danificado - com risco,Contentor/Equip. sem placa/ilegível,Acondicionamento inadequado,Manilha não conforme,Bobina com avaria (ancoragem),Eslinga danificada,Contentor/Equip. vencido,Vazamento de material/produto,Material não unitizado,Eslinga vencidda,Drops,Eslinga sem etiqueta,Outros - Grave,Embarcação,Tipo de Equipamento,Descrição da Não Conformidade,Parecer da Fiscalização,Equipamento,Apeação,Assinado
Publico,323676850,01/02/2024,Não,Não,Não,Recebimento,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, MATERIAL DESEMBARCOU COM A TAMPA DO REFIL DANIFICADA PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Privado,323525160,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, MATERIAL FORA DO PADRÃO. O MESMO DESEMBARCOU COM A PLAQUETA DA ESLINGA VENCIDA. PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades, Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,nan,Não,Sim
Publico,323800312,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,Não,Não,Não,Não,Não,Não,nan,CONTAINER DNVU SMC 009, BARRA DE PROTEÇÃO DANIFICADA PARECER FISCALIZAÇÃO Peso não conforme (dentro do dimensionamento), Peso não conforme (dentro do dimensionamento) Dados divergentes/Faltantes Contentor/Equip. a vencer (LOAD),CONTAINER DNVU SMC 009,Não,Sim
Privado,323745309,01/02/2024,Não,Não,Sim,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,S TARNAV CIRCINUS,nan, MATERIAL DESEMBARCOU COM O CANTO IMO," CASO TENHA DESEMBARCADO COM CANTO ISSO OBSTRUÍDO, INFOMAR AO CLIENTE SOBRE O DESVIO.",nan,Não,Sim
Publico,323827591,01/02/2024,Não,Não,Não,Recebimento,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,CBO RENATA EMBALAGEM: TIPO DE EQUIP:,nan, MATERIAL DESEMBARCOU SEM UMA DAS BARRAS DE PROTEÇÃO PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Privado,323763004,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,CBO OCEANA EMBALAGEM: TIPO DE EQUIP:,nan, BARRA LATERAL AMASSADA PARECER FISCALIZAÇÃO Peso não conforme (dentro do, Peso não conforme (dentro do Dados divergentes/Faltantes Contentor/Equip. a vencer,CONTENTOR 5839 ESL 29080,Não,Sim
Privado,323784425,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,THOR SUPPLIER EMBALAGEM: TIPO DE EQUIP:,nan, MATERIAL FORA DO PADRÃO. A DESCRIÇÃO CORRETA DO MATERIAL É RF 02/19436-4 PARECER FISCALIZAÇÃO Enviar para Setor de Pré-analise para que seja solicitado o Reajuste da RT., Enviar para Setor de Pré-analise para que seja solicitado o Reajuste da RT. Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,nan,Não,Sim
Publico,323821805,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,Não,Não,Não,Não,nan,nan, PARECER FISCALIZAÇÃO ACIONAR O SMS PARA ABERTURA DE DESVIO Peso não conforme (dentro do dimensionamento), ACIONAR O SMS PARA ABERTURA DE DESVIO Peso não conforme (dentro do dimensionamento) Dados divergentes/Faltantes,nan,Não,Sim
Publico,323790807,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,EMBALAGEM: TIPO DE EQUIP:,container 10'open top, TRAVA DA TAMPA DANIFICADA - FORA DO PADRÃO PETROBRAS PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Publico,323849674,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,BARU ANTARES EMBALAGEM: TIPO DE EQUIP:,nan, CARGA INTERNA EXCEDE A ALTURA LIMITE DA CESTA PARECER FISCALIZAÇÃO Peso não conforme (dentro do Dados divergentes/Faltantes, Peso não conforme (dentro do Dados divergentes/Faltantes Contentor/Equip. a vencer (LOAD) Lacre faltante / Danificado /,NHJU 1400023 CESTA 14 M,Não,Sim
Privado,323758598,01/02/2024,Não,Não,Sim,Backload,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,BRAM HERO,nan, MATERIAL DESEMBARCOU COM A APEAÇÃO FORA DO PADRÃO PT-BR, DE ACORDO. INSERIR RNCC E A INFORMAÇÃO NA RT E CAMPO DE OBSERVAÇÃO.,nan,Sim,Sim
Publico,323745953,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Grave,BRUCE KAY EMBALAGEM: TIPO DE EQUIP:,CARRETEL IN RISE 2600, GRADE DE CONTENÇÃO AMASSADA PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Privado,323835816,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, ESLINGA COM COMPRIMENTO FODA DO PADRÃO PARECER FISCALIZAÇÃO Peso não conforme (dentro do dimensionamento), Peso não conforme (dentro do dimensionamento) Dados divergentes/Faltantes,nan,Não,Sim
Privado,323816476,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes Material faltando etiqueda de identificação Contentor/Equip. a vencer (LOAD),nan,Não,Sim
Privado,323704832,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,nan,Não,Sim
Publico,323732867,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,TALHA MAR,nan, CARGA DESEMBARCOU SEM LACRE E FOI PROVIDENCIADO UM LACRE TRIUNFO NUMERO : 0001482,,nan,Não,Sim
Publico,323796117,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan," SEM PLAQUETA DE VALIDADE PARECER FISCALIZAÇÃO NO PORTO, A MOVIMENTAÇÃO SERÁ APENAS COM EMPILHADEIRA Peso não conforme (dentro do Rancho outras não conformidades"," NO PORTO, A MOVIMENTAÇÃO SERÁ APENAS COM EMPILHADEIRA Peso não conforme (dentro do Rancho outras não conformidades dimensionamento)",nan,Não,Sim
Privado,323704832,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, PARECER FISCALIZAÇÃO Peso não conforme (dentro do Rancho outras não conformidades dimensionamento), Peso não conforme (dentro do Rancho outras não conformidades dimensionamento) RT do material não programada Dados divergentes/Faltantes,nan,Não,Sim
Privado,323765075,01/02/2024,Não,Não,Não,Recebimento,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, MATERIAL DESEMBARCOU SEM PLAQUETA DE IDENTIFICAÇÃO PARECER FISCALIZAÇÃO CIENTE. SOLICITAR FORNECEDOR COLETA Peso não conforme (dentro do dimensionamento), CIENTE. SOLICITAR FORNECEDOR COLETA Peso não conforme (dentro do dimensionamento) Dados divergentes/Faltantes,nan,Não,Sim
Publico,323699877,01/02/2024,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,nan,nan, PARECER FISCALIZAÇÃO Peso não conforme (dentro do dimensionamento), Peso não conforme (dentro do dimensionamento) Dados divergentes/Faltantes Contentor/Equip. a vencer (LOAD),nan,Não,Sim
